date,VOO,KMLM
2004-07-29,305.7735715095,567.9700366377
2004-07-30,306.5202713178,571.9854961268
2004-08-02,307.1562950274,570.4169274957
2004-08-03,304.7780561379,572.4076596025
2004-08-04,304.7504029331,564.8222480036
2004-08-05,299.7726362363,567.0353567762
2004-08-06,295.4861363790,573.9997592460
2004-08-09,295.9009344505,573.2821234994
2004-08-10,299.7172981870,570.1803500028
2004-08-11,299.1089909618,572.9035455528
2004-08-12,295.8457229604,576.5865991756
2004-08-13,296.4265035402,586.8781926518
2004-08-16,299.4959776294,581.3149141670
2004-08-17,301.1828547599,579.1260438524
2004-08-18,304.2801402530,578.1437615855
2004-08-19,303.3953326200,582.8413331062
2004-08-20,305.5245661073,575.8009241716
2004-08-23,304.7504029331,565.8704582150
2004-08-24,305.1651693648,562.0209399873
2004-08-25,307.2391913621,560.4677174856
2004-08-26,307.2391913621,559.8041335357
2004-08-27,308.2070851687,561.8340877379
2004-08-30,305.6629903302,558.6592839791
2004-08-31,307.2670027660,563.2444211444
2004-09-01,307.8477833457,567.3780714660
2004-09-02,311.3320238666,567.7764308326
2004-09-03,310.0599448075,564.7701963771
2004-09-07,312.1063452398,564.0251463337
2004-09-08,311.3320238666,567.1191314136
2004-09-09,311.0555867384,571.7833337266
2004-09-10,312.6596308139,570.1187070204
2004-09-13,313.6825779115,572.5346435469
2004-09-14,314.3187281804,576.8707722592
2004-09-15,311.9405209307,571.9030785545
2004-09-16,312.8808564520,577.9004961803
2004-09-17,314.2108680259,580.9040609028
